conc conc_jitter signal_orig signal_out type is_outlier
10 -14.2913905535447 25.197889801749 158.999089709958 random TRUE
10 29.6288950838609 23.4337448382584 23.4337448382584 normal FALSE
10 33.5818088493454 27.3929157114995 27.3929157114995 normal FALSE
10 45.4143912747127 27.9898636582446 27.9898636582446 normal FALSE
10 27.0445553031565 27.0617056728487 27.0617056728487 normal FALSE
10 1.99315960745352 22.0563440787305 22.0563440787305 normal FALSE
10 -14.7528683874997 28.9458692660279 59.049364572633 10xSD TRUE
10 -3.93241002493517 25.4845162776556 25.4845162776556 normal FALSE
10 38.0861506204679 32.2263275549373 32.2263275549373 normal FALSE
10 -22.876992935678 30.2643315351824 34.7268958905362 3xSD TRUE
10 5.74179881228609 36.6214985224352 36.6214985224352 normal FALSE
10 -0.596624247140161 25.6084445925913 36.3096286724338 3xSD TRUE
10 56.3999759500081 29.3670550356281 29.3670550356281 normal FALSE
10 12.0175397745808 32.6450729205968 36.0167941902046 3xSD TRUE
10 11.0829006509551 33.2683486666781 58.1537180887769 10xSD TRUE
10 27.8515829299403 27.0522474438922 27.0522474438922 normal FALSE
10 -16.4727359038139 21.7494483468455 21.7494483468455 normal FALSE
10 0.00979523433032092 23.0608007960691 23.0608007960691 normal FALSE
10 41.6895276600655 26.2808486998228 26.2808486998228 normal FALSE
10 -8.29008496058373 27.2879738925307 27.2879738925307 normal FALSE
250 255.306932708642 748.221351682985 748.221351682985 normal FALSE
250 211.814580495715 675.905745828851 675.905745828851 normal FALSE
250 256.460715221077 734.156659856577 819.966267998514 3xSD TRUE
250 250.770758112906 697.51584720657 875.585954445157 3xSD TRUE
250 234.443693799689 650.52284632993 650.52284632993 normal FALSE
250 266.462891069549 737.26316340248 737.26316340248 normal FALSE
250 231.553007418152 705.256053293773 705.256053293773 normal FALSE
250 255.695729217508 710.345874293061 710.345874293061 normal FALSE
250 262.449602816884 673.790051450346 673.790051450346 normal FALSE
250 231.202644072048 708.027690056897 708.027690056897 normal FALSE
250 222.121486387434 686.39054937681 686.39054937681 normal FALSE
250 275.437903349964 718.681339427474 718.681339427474 normal FALSE
250 272.728393478272 738.415451092424 738.415451092424 normal FALSE
250 220.74529938831 678.962879384226 678.962879384226 normal FALSE
250 266.629358167735 701.498460749661 701.498460749661 normal FALSE
250 308.085153518065 662.222320064083 662.222320064083 normal FALSE
250 256.90731360148 713.112280267849 842.498296247626 3xSD TRUE
500 520.258595642231 1382.8388331256 1382.8388331256 normal FALSE
500 530.136538188191 1389.92971125911 1389.92971125911 normal FALSE
500 485.322489649797 1386.07678457614 1444.96353010466 3xSD TRUE
500 499.149251077654 1310.98887917583 1310.98887917583 normal FALSE
500 561.904769017637 1380.55368480719 1380.55368480719 normal FALSE
500 512.18056567659 1355.57807842479 1355.57807842479 normal FALSE
500 523.183286957646 1360.79617481771 1360.79617481771 normal FALSE
500 491.647647081273 1356.85708262942 1469.38744880347 3xSD TRUE
500 527.353979630463 1360.55072146575 1360.55072146575 normal FALSE
500 533.047374827228 1366.22845159376 1366.22845159376 normal FALSE
500 481.328585139529 1347.66739646523 1347.66739646523 normal FALSE
500 521.765122869849 1404.57786698384 1404.57786698384 normal FALSE
500 517.908397063637 1381.29532938183 1480.70423708745 3xSD TRUE
500 524.048880682275 1337.27557458517 1637.43362152897 10xSD TRUE
500 477.61980409899 1351.48166654576 1351.48166654576 normal FALSE
500 480.06917904355 1332.40662075671 1332.40662075671 normal FALSE
500 462.42338651357 1367.49065615466 1367.49065615466 normal FALSE
500 455.683535529092 1368.47366704193 1368.47366704193 normal FALSE
750 779.044650092358 2130.41701812707 2177.48409022256 3xSD TRUE
750 720.985486561555 2110.2678150237 2286.00206946929 10xSD TRUE
750 786.802365767165 2117.13085142666 2117.13085142666 normal FALSE
750 714.761206163766 2135.27406995992 2293.47883615205 10xSD TRUE
750 729.408112024756 2131.17578656446 2131.17578656446 normal FALSE
750 724.207956546482 2122.91954988539 2122.91954988539 normal FALSE
750 757.184205772256 2124.40302249558 2179.53768760641 3xSD TRUE
750 768.650866407571 2126.37068969415 2126.37068969415 normal FALSE
750 774.613610065844 2108.07157139868 2108.07157139868 normal FALSE
750 722.485524731799 2143.77671323691 2143.77671323691 normal FALSE
750 775.021984338856 2113.38553719249 2113.38553719249 normal FALSE
750 744.677411238631 2100.6566994741 2100.6566994741 normal FALSE
750 722.658365426369 2138.86751604288 2138.86751604288 normal FALSE
750 755.193634592229 2140.24214034892 2140.24214034892 normal FALSE
750 729.003415522512 2140.48325183272 2140.48325183272 normal FALSE
750 731.487275107729 2125.49682427278 2156.26339181202 3xSD TRUE
750 761.933398268614 2153.31388768667 2153.31388768667 normal FALSE
750 743.560020209837 2120.27874877836 2120.27874877836 normal FALSE
750 744.551895520389 2140.91821394665 2140.91821394665 normal FALSE
1000 993.801518065382 2785.97885507371 2785.97885507371 normal FALSE
1000 996.661890279147 2714.96227066303 2714.96227066303 normal FALSE
1000 1002.69482101536 2856.11519769892 2856.11519769892 normal FALSE
1000 972.350568344903 2763.94375869739 2763.94375869739 normal FALSE
1000 977.280569324067 2751.65304434206 2751.65304434206 normal FALSE
1000 961.485818540139 2743.54051698048 2743.54051698048 normal FALSE
1000 1074.63051709943 2827.89981318339 2827.89981318339 normal FALSE
1000 977.742363906682 2780.079770823 2780.079770823 normal FALSE
1000 1023.71382851296 2729.48415331403 2729.48415331403 normal FALSE
1000 1008.44511179467 2777.49302048339 2777.49302048339 normal FALSE
1000 977.455422458642 2811.52858304838 2811.52858304838 normal FALSE
1000 968.767975293384 2788.25551309277 2788.25551309277 normal FALSE
1000 1040.40942972278 2824.25823095613 2942.99015108249 3xSD TRUE
1000 997.928011940703 2779.69272144679 2896.03573640655 3xSD TRUE
1000 992.463816269845 2774.90899322347 2908.58390846356 3xSD TRUE
1000 1003.79936847995 2825.76320932473 2825.76320932473 normal FALSE
1000 1001.46780876447 2711.28357118203 2711.28357118203 normal FALSE
