conc	signal_out
10	25.197889801749
10	23.4337448382584
10	27.3929157114995
10	27.9898636582446
10	27.0617056728487
10	22.0563440787305
10	28.9458692660279
10	25.4845162776556
10	32.2263275549373
10	30.2643315351824
10	36.6214985224352
10	25.6084445925913
10	29.3670550356281
10	32.6450729205968
10	33.2683486666781
10	27.0522474438922
10	21.7494483468455
10	23.0608007960691
10	26.2808486998228
10	27.2879738925307
10	24.4968958905362
10	25.7867941902046
10	26.0796286724338
10	24.949364572633
10	24.0537180887769
10	26.8562064939528
10	25.4262829706478
10	24.7635790281968
10	24.8856666099849
10	32.8239144097926
10	27.9955971856255
10	25.5605536983471
10	32.088267065997
10	20.3493577366289
10	24.751732643559
10	32.1691040730985
10	31.4078444348278
10	27.8056000476601
10	34.7281890588599
10	28.3066429894318
10	30.140638798444
10	29.3280370029477
10	28.6949418908057
10	20.8037792367376
10	18.0823918284787
10	25.782170664279
10	25.5415457404388
10	34.8068314059608
10	28.2801679469012
10	29.8095898736076
10	27.7013120607039
10	23.3290510994692
10	23.4061701195163
10	30.9279345973894
10	28.3197662373691
10	29.6415189510222
10	26.9714864635811
10	30.6372807027285
10	32.7516939580884
10	32.1502813790593
10	27.8245098454799
10	31.1499721832994
10	25.0407633909677
10	23.5344947734021
10	23.8515837559718
10	27.9503031422094
10	28.9445805512292
10	27.0943622561025
10	25.4851050101575
10	33.2132628448843
10	25.9539372580218
10	32.1048312617999
10	30.1385169110691
10	28.5008968690678
10	23.8215084593932
10	27.5948761603297
10	27.0580888955439
10	25.3798094334719
10	29.4497257475602
10	29.2265319969762
10	31.9984948902279
10	26.3226949987449
10	29.2738076800061
10	28.8083772754993
10	24.2073704375503
10	26.6644288357629
10	19.5640422714498
10	32.3641273262472
10	34.5436297334406
10	27.9070533067921
10	25.5297125702962
10	22.0134854222746
10	27.8422627594679
10	27.7001665475005
10	29.1769649381301
10	32.7073473637739
10	23.8225669150071
10	30.6492848516938
10	27.8996805778384
10	27.8857527225937
250	709.802170344897
250	624.877057305526
250	666.474505294934
250	725.402881906203
250	630.855306053273
250	672.663287279953
250	670.097856454657
250	765.699872870199
250	728.019293537022
250	699.020656028824
250	666.690232811294
250	725.086078392687
250	730.000630330629
250	759.36440615534
250	737.0562676623
250	711.615991765019
250	739.862325008957
250	752.796041933063
250	721.692215736462
250	818.854615700881
250	659.327520056147
250	694.84226067611
250	744.56117016945
250	680.727482289636
250	714.618764323258
250	693.245256333861
250	691.075142374718
250	734.059279437086
250	631.004133754454
250	679.802616330379
250	735.708238451237
250	750.461933437881
250	683.527670540937
250	704.179321409583
250	739.80742358172
250	797.910963004743
250	723.642892894554
250	655.903182211102
250	740.07655739994
250	692.97492568059
250	746.30590397606
250	754.809559041948
250	677.562374764401
250	737.958387518407
250	732.197981854249
250	741.369408187046
250	672.022939402252
250	675.681325819446
250	649.325570096668
250	639.258928666251
250	702.492346283068
250	650.352966942816
250	668.112203206605
250	715.060767311394
250	704.455784498739
250	683.091413216953
250	686.930142757091
250	692.021805487138
250	644.669825088474
250	737.062756220818
250	702.609437887183
250	658.420586193184
250	625.482623587177
250	724.359400487939
250	727.916467126037
250	728.540382774332
250	689.760534881875
250	761.741764810841
250	676.257905709218
250	729.665918833547
250	657.354092187164
250	717.580163217146
250	712.26614198962
250	751.041638386521
250	731.694274011328
250	748.533847883948
250	684.674339687985
250	710.363446161922
250	679.81054734058
250	716.286259328837
250	693.471775970594
250	679.540016362827
250	752.043993213994
250	666.306682481307
250	714.497759709836
250	732.484413074766
250	619.816027577677
250	689.223703643642
250	730.148773741296
250	737.155905117379
250	732.377435620433
250	760.446735077164
250	725.032751090426
250	746.761579204382
250	731.510721688963
250	689.231874998767
250	690.226354683138
250	701.608497789296
250	726.531756095145
250	679.502453445071
500	1291.78019539505
500	1298.69772892944
500	1334.17663269629
500	1382.74114074261
500	1332.58397291732
500	1418.92170806737
500	1301.39109759915
500	1351.44145747456
500	1383.50548873962
500	1305.75021730582
500	1346.91074846968
500	1329.84642815774
500	1308.59287302885
500	1298.78353209598
500	1399.94197278305
500	1330.33701920451
500	1395.67587573222
500	1361.56769712668
500	1351.67771472691
500	1416.62926499637
500	1399.34250608535
500	1366.69672442396
500	1352.53736472748
500	1359.28309806771
500	1365.01956652158
500	1342.59429240928
500	1291.54866958306
500	1353.5275398031
500	1341.50453258401
500	1355.06525788294
500	1346.21370449199
500	1351.51634045496
500	1350.02829687627
500	1358.07381330608
500	1317.60671794476
500	1324.18136725058
500	1303.11748760513
500	1454.00725760381
500	1307.31713269228
500	1324.79721650595
500	1408.88949754925
500	1386.10476170488
500	1365.74240108937
500	1324.41455139084
500	1312.82897185126
500	1408.37001547829
500	1351.71679672412
500	1344.42974537746
500	1359.54683780486
500	1356.4374697683
500	1365.03778258042
500	1350.79457174489
500	1309.70823735766
500	1293.97355661465
500	1368.61208679441
500	1339.87301638266
500	1344.16828728426
500	1337.8474195536
500	1348.00914621642
500	1338.41494639131
500	1343.4578466126
500	1397.33640718721
500	1381.52175059964
500	1372.12620319524
500	1287.35843897657
500	1326.87513777518
500	1366.16335362044
500	1313.09238927405
500	1351.74313297448
500	1391.71678961434
500	1382.79793889247
500	1389.08428909633
500	1288.31844924233
500	1391.62589470217
500	1294.12965932511
500	1354.43918056703
500	1379.49580085695
500	1345.05216569946
500	1336.64480048195
500	1364.71315494266
500	1335.92069620019
500	1366.1052382394
500	1334.89584485847
500	1377.33863762409
500	1371.19739500781
500	1357.80205441846
500	1434.72697822786
500	1365.66809154261
500	1347.25633667883
500	1370.0059435048
500	1353.9440319055
500	1390.45833740723
500	1351.43135470315
500	1330.04138782819
500	1359.85189115134
500	1365.05058771168
500	1384.49429990555
500	1346.71257804534
500	1338.38768377379
500	1328.65188644324
750	2107.25689905848
750	2132.21276093768
750	2120.58127893527
750	2165.25099992334
750	2110.88652535335
750	2126.58832724245
750	2118.50890725801
750	2142.5209146249
750	2148.3028826941
750	2167.44905698736
750	2130.15817799918
750	2129.81244405472
750	2126.39483525352
750	2143.38183522755
750	2140.60660328812
750	2114.11844576769
750	2143.34020720756
750	2114.53915929856
750	2132.78807137723
750	2142.40570788319
750	2124.12649849504
750	2128.4178035511
750	2111.80736755452
750	2137.0447772402
750	2146.12145892013
750	2144.44370704129
750	2144.21685399009
750	2137.46365029456
750	2123.71135733137
750	2135.85109390836
750	2152.77887563169
750	2134.19488985577
750	2138.02244254219
750	2118.63190494646
750	2120.46202792743
750	2112.55143243215
750	2146.09926456429
750	2131.37371596782
750	2130.99278827128
750	2142.2178592722
750	2117.8665934094
750	2133.20854452854
750	2137.41838760844
750	2138.5927779236
750	2123.03752763374
750	2143.73839043915
750	2145.75881103547
750	2120.30500861315
750	2118.94908286325
750	2159.93608285351
750	2127.40224768864
750	2150.17425709629
750	2143.28199303159
750	2106.79750584375
750	2154.98968313951
750	2111.52913828572
750	2121.18609975565
750	2148.13029148836
750	2147.8969840364
750	2131.56663958648
750	2138.19927789114
750	2153.18627232014
750	2156.5473019238
750	2147.66117413107
750	2134.48662686931
750	2117.71281021613
750	2103.07965103422
750	2135.63738516241
750	2148.46368958892
750	2150.38857319192
750	2145.44906747286
750	2125.43137333264
750	2140.30336220954
750	2130.40256000378
750	2117.12126869747
750	2125.88422478122
750	2131.2049398073
750	2146.16728281208
750	2150.74672931112
750	2124.33950662201
750	2119.17066693528
750	2137.13878638804
750	2130.48153774204
750	2123.4852914188
750	2139.79815949828
750	2140.13947558898
750	2124.95572697309
750	2154.20567334102
750	2141.82167463981
750	2147.05817223873
750	2132.6580916529
750	2158.8246435694
750	2112.66436968517
750	2133.79673116474
750	2130.35135943104
750	2111.59390817227
750	2131.59760182574
750	2120.28069604982
750	2128.95323081549
750	2127.63895431966
1000	2780.50641455093
1000	2727.98585615716
1000	2757.72167704865
1000	2755.61721958063
1000	2765.22105945166
1000	2784.3698343175
1000	2771.86274411605
1000	2732.59327237322
1000	2725.36323611538
1000	2735.16228084063
1000	2797.00790263566
1000	2739.44867795711
1000	2783.82412258869
1000	2800.13047457245
1000	2758.6106612551
1000	2771.59802382816
1000	2786.93746860597
1000	2821.28632592168
1000	2739.08760472587
1000	2776.75228991883
1000	2695.75785935922
1000	2783.60752333312
1000	2778.05278446769
1000	2730.38798728066
1000	2768.24912207997
1000	2711.1577660756
1000	2795.25049823294
1000	2777.42580759462
1000	2745.77081790925
1000	2772.34141764327
1000	2775.10706995685
1000	2751.18313226356
1000	2806.57941957631
1000	2744.87094210758
1000	2830.83504835805
1000	2818.16590662758
